,postag
494,"[('alhamdulilah', 'NN'), ('konsultasi', 'NN'), ('halodoc', 'NN'), ('berasa', 'NN'), ('ngobrol', 'NN'), ('langsung', 'RB'), ('dokter', 'JJ')]"
495,"[('aplikasi', 'NN'), ('membantu', 'VB')]"
496,"[('takut', 'VB'), ('rumahsakit', 'NN'), ('di', 'IN'), ('sini', 'NN'), ('dokter', 'FW'), ('oke', 'FW'), ('oke', 'FW'), ('macihalodoc', 'FW')]"
497,"[('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('dokter', 'NN'), ('ramah', 'NN'), ('cepat', 'JJ'), ('balas', 'JJ'), ('chat', 'VB')]"
498,"[('membantu', 'VB'), ('mengenali', 'VB'), ('penyakit', 'NN'), ('kucing', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('hewan', 'NN')]"
499,"[('ngebantu', 'RB'), ('sakit', 'JJ')]"
500,"[('aplikasi', 'NN'), ('kehidupan', 'NN'), ('sat', 'NN'), ('butuh', 'VB'), ('obat', 'NN'), ('tingal', 'VB'), ('pemesanan', 'NN')]"
501,"[('dokter', 'NN'), ('pertanyan', 'NN'), ('terbantu', 'VB'), ('merawat', 'NN'), ('suami', 'PRP'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
502,"[('bagus', 'JJ'), ('membantu', 'VB'), ('disat', 'NN'), ('susah', 'JJ'), ('cari', 'VB'), ('obat', 'NN'), ('aplikasi', 'NN'), ('cepat', 'JJ'), ('lengkap', 'VB')]"
503,"[('membantu', 'VB'), ('dimasa', 'NN'), ('pandemi', 'NN'), ('mengurangi', 'VB'), ('kontak', 'NN'), ('langsung', 'RB'), ('dokter', 'JJ')]"
504,"[('dokter', 'NN'), ('melayani', 'VB'), ('gratis', 'JJ'), ('respon', 'NN'), ('cepat', 'JJ'), ('kaih', 'VB'), ('bintang', 'NN'), ('kali', 'NN'), ('mencoba', 'VB'), ('konsultasi', 'NN')]"
505,"[('alhamdulilah', 'MD'), ('terima', 'VB'), ('kasih', 'NN'), ('layanan', 'NN'), ('cepat', 'JJ'), ('membantu', 'VB')]"
506,"[('bagus', 'JJ'), ('penjelasan', 'NN'), ('dokter', 'NN'), ('detail', 'NN'), ('pakai', 'VB'), ('gambar', 'NN'), ('tubuh', 'NN'), ('cepat', 'JJ'), ('gampang', 'VB')]"
507,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('sayang', 'NN'), ('bayar', 'VB'), ('pakai', 'VB'), ('ovo', 'NNP')]"
508,"[('bagus', 'JJ'), ('bermanfat', 'VB'), ('respon', 'NN'), ('cepat', 'JJ'), ('tangap', 'VB'), ('membantu', 'VB')]"
509,"[('bingung', 'VB'), ('ta', 'NN'), ('ke', 'IN'), ('mana', 'NN'), ('aplikasi', 'NN'), ('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('yah', 'JJ')]"
510,"[('menolong', 'VB'), ('halodoc', 'FW'), ('semoga', 'SC'), ('membantu', 'VB'), ('masyarakat', 'NN'), ('kemudahan', 'NN')]"
511,"[('membantu', 'VB'), ('covid', 'NN'), ('sembilan', 'CD'), ('belas', 'NN'), ('rumah', 'NN')]"
512,"[('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'MD')]"
513,"[('alhamdulilah', 'NN'), ('aplikasi', 'NN'), ('membantu', 'VB'), ('pelayanan', 'NN'), ('cepat', 'JJ'), ('mantap', 'RB')]"
514,"[('tolong', 'VB'), ('fitur', 'NN'), ('fre', 'FW'), ('chat', 'VB'), ('asuransi', 'NN'), ('spesialis', 'NN'), ('dokter', 'NN'), ('tertawa', 'VB'), ('dokter', 'NN')]"
515,"[('tulisan', 'NN'), ('sudh', 'NN'), ('terhubung', 'VB'), ('dokter', 'NN'), ('saldo', 'NN'), ('terpotong', 'VB'), ('chat', 'VB'), ('ngimong', 'VB'), ('ma', 'NN'), ('dokter', 'NN'), ('aplikasi', 'NN'), ('ek', 'JJ')]"
516,"[('konsultasi', 'NN'), ('cepat', 'JJ')]"
517,"[('terima', 'CD'), ('kasih', 'MD'), ('membantu', 'VB')]"
518,"[('respon', 'NN')]"
519,"[('dokter', 'NN'), ('ramah', 'NN'), ('lansung', 'NN'), ('point', 'FW'), ('penjelasan', 'NN'), ('penyakit', 'NN'), ('pertahankan', 'VB'), ('iya', 'NN')]"
520,"[('sunguh', 'RB'), ('bermanfat', 'VB'), ('disat', 'NN'), ('pandemi', 'NN'), ('memiliki', 'VB'), ('anak', 'NN'), ('sakit', 'NN'), ('malam', 'NN')]"
521,"[('terima', 'CD'), ('kasih', 'NN'), ('aplikasi', 'NN'), ('membantu', 'VB'), ('konsultasi', 'NN'), ('kesehatan', 'NN')]"
522,"[('detail', 'NN'), ('membantu', 'VB'), ('dokternya', 'NN'), ('dikasih', 'NN'), ('resep', 'NN'), ('obat', 'NN')]"
523,"[('malam', 'NN'), ('dokter', 'NN'), ('sabar', 'NN'), ('melayani', 'VB'), ('konsultasi', 'NN'), ('keren', 'NN'), ('charles', 'NN')]"
524,"[('ambil', 'VB'), ('obat', 'NN'), ('rumah', 'NN'), ('kasihan', 'NN'), ('gojeknya', 'RB')]"
525,"[('membantu', 'VB'), ('biaya', 'NN'), ('konsultasi', 'NN'), ('plus', 'JJ'), ('obat', 'NN'), ('terjamgkau', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
526,"[('ulasan', 'NN'), ('dokter', 'NN'), ('obat', 'NN'), ('direkomendasikan', 'VB'), ('bagus', 'JJ'), ('terima', 'VB'), ('kasih', 'NN'), ('dokter', 'NN')]"
527,"[('membantu', 'VB'), ('aplikasi', 'NN'), ('berhubunham', 'NN'), ('demgam', 'NN'), ('dokter', 'NN'), ('sat', 'NN'), ('pandemi', 'NN'), ('imi', 'NN')]"
528,"[('kasih', 'MD'), ('bintang', 'VB'), ('pemesanan', 'NN'), ('bayar', 'VB'), ('status', 'NN'), ('dibatalkan', 'VB'), ('uang', 'NN'), ('lari', 'VB'), ('ke', 'IN'), ('mana', 'NN'), ('uang', 'NN'), ('kasih', 'NN'), ('bintang', 'NN'), ('transaksi', 'NN'), ('enam', 'CD'), ('puluh', 'CD'), ('sembilan', 'CD'), ('qloenam', 'CD'), ('enam', 'CD'), ('dibatalkan', 'VB')]"
529,"[('membantu', 'VB'), ('keadan', 'NN'), ('pandemi', 'NN'), ('rumah', 'NN')]"
530,"[('senang', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('alhamdulilah', 'NN'), ('tenang', 'JJ')]"
531,"[('aplikasi', 'NN'), ('bagus', 'JJ')]"
532,"[('membantu', 'VB'), ('informasi', 'NN'), ('kesehatan', 'NN'), ('butuhkan', 'VB')]"
533,"[('puas', 'JJ'), ('membantu', 'VB'), ('terimakasi', 'NN'), ('aplikasi', 'NN'), ('halodic', 'FW'), ('dokter', 'FW'), ('bertugas', 'VB')]"
534,"[('susah', 'MD'), ('hubungkan', 'VB'), ('gopay', 'FW'), ('pin', 'FW'), ('dibilang', 'NN'), ('salah', 'JJ')]"
535,"[('terima', 'CD'), ('kasih', 'NN'), ('aplikasi', 'NN'), ('membantu', 'VB'), ('disat', 'NN'), ('pandemi', 'JJ')]"
536,"[('pesan', 'NN'), ('kali', 'NN'), ('alhamdulilah', 'NN'), ('lancar', 'JJ'), ('cepwt', 'FW'), ('bamget', 'FW')]"
537,"[('halo', 'FW'), ('doc', 'FW'), ('tolong', 'VB'), ('sertifikat', 'NN'), ('vaksin', 'NN'), ('kemarin', 'NN'), ('vaksin', 'NN'), ('makan', 'VB'), ('halodoc', 'NN'), ('mengeluarkan', 'VB'), ('tolong', 'VB'), ('usut', 'VB'), ('jelek', 'NN'), ('halodoc', 'FW'), ('tolong', 'FW'), ('difolow', 'FW'), ('up', 'FW'), ('kendala', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
538,"[('terima', 'CD'), ('kasih', 'MD'), ('membantu', 'VB')]"
539,"[('cepat', 'JJ'), ('penanganan', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('ksih', 'NN'), ('halodoc', 'FW'), ('terbantu', 'VB'), ('disat', 'NN'), ('kondisi', 'NN'), ('mendesak', 'VB')]"
540,"[('membantu', 'VB'), ('keadan', 'NN'), ('pandemi', 'NN'), ('covid', 'FW'), ('mantap', 'FW')]"
541,"[('membantu', 'VB'), ('konsultas', 'NN'), ('semoga', 'NN'), ('cocok', 'NN'), ('obat', 'NN'), ('amin', 'VB')]"
542,"[('halodoc', 'MD'), ('bermanfat', 'VB'), ('konsultasi', 'NN'), ('kesehatan', 'NN'), ('cepat', 'JJ')]"
543,"[('kakak', 'VB'), ('tlong', 'VB'), ('iya', 'NN'), ('percepat', 'NN'), ('proses', 'NN'), ('tes', 'NN'), ('pacar', 'JJ'), ('kmaren', 'NN'), ('nungu', 'NN'), ('ac', 'NN'), ('gmna', 'NN'), ('mna', 'NN'), ('butuh', 'VB'), ('cpet', 'NN')]"
544,"[('halo', 'NN'), ('dok', 'NN'), ('tolong', 'VB'), ('area', 'NN'), ('perluas', 'JJ'), ('daerah', 'NN'), ('jawa', 'VB'), ('timur', 'NN'), ('khusus', 'JJ'), ('blitar', 'IN')]"
545,"[('penjelasan', 'NN')]"
546,"[('membantu', 'VB'), ('disat', 'NN'), ('situasi', 'NN'), ('pandemi', 'NN'), ('repot', 'FW'), ('repot', 'FW'), ('rumah', 'NN')]"
547,"[('suka', 'VB'), ('memudahkan', 'VB'), ('terbilanh', 'NN'), ('sibuk', 'NN'), ('memeriksakan', 'VB'), ('dokter', 'NN')]"
548,"[('dokter', 'NN'), ('ramah', 'NN'), ('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW')]"
549,"[('bagus', 'JJ'), ('membantu', 'VB')]"
550,"[('alhamdulilah', 'NN'), ('kondisi', 'NN'), ('pandemic', 'NN'), ('berobat', 'NN'), ('rumah', 'NN'), ('halodoc', 'FW')]"
551,"[('membantu', 'VB'), ('mencari', 'VB'), ('solusi', 'NN'), ('kesehatan', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
552,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('ribet', 'FW'), ('antre', 'FW'), ('sat', 'NN'), ('beli', 'VB'), ('obat', 'NN')]"
553,"[('cepat', 'JJ'), ('direspon', 'NN'), ('solusi', 'NN')]"
554,"[('membantu', 'VB'), ('upload', 'FW'), ('resep', 'FW'), ('tingal', 'FW'), ('tungu', 'FW'), ('obat', 'FW'), ('antre', 'FW'), ('apotek', 'FW')]"
555,"[('bagus', 'JJ'), ('opsi', 'NN'), ('tips', 'FW'), ('driver', 'FW'), ('gojek', 'FW')]"
556,"[('recomend', 'FW'), ('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW')]"
557,"[('mantap', 'RB'), ('rekomendasi', 'VB'), ('konsultasi', 'NN'), ('pergi', 'VB'), ('rumah', 'NN'), ('sakit', 'JJ')]"
558,"[('diandalkan', 'VB')]"
559,"[('aplikasi', 'NN'), ('pelan', 'NN'), ('macet', 'JJ'), ('tolong', 'VB'), ('server', 'NN'), ('perbaiki', 'VB'), ('terima', 'CD'), ('kasih', 'MD')]"
560,"[('tolong', 'VB'), ('alasan', 'NN'), ('pesanan', 'NN'), ('dibatalkan', 'VB'), ('batal', 'NN')]"
561,"[('mudah', 'JJ'), ('cepat', 'JJ')]"
562,"[('membantu', 'VB'), ('aplikasi', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('dokter', 'NN')]"
563,"[('alhamdulilah', 'MD'), ('berbicara', 'VB'), ('ahli', 'NN'), ('self', 'NN'), ('diagnosis', 'JJ')]"
564,"[('terbantu', 'VB'), ('aplikasi', 'NN'), ('halodoc', 'NN'), ('kondisi', 'NN'), ('pandemi', 'NN'), ('covid', 'NN'), ('sembilan', 'NN'), ('belas', 'JJ')]"
565,"[('membantu', 'VB'), ('beli', 'VB'), ('obat', 'NN'), ('urgent', 'FW'), ('terima', 'FW'), ('kasih', 'FW'), ('halodoc', 'FW'), ('gojek', 'FW')]"
566,"[('membantu', 'VB'), ('sat', 'NN'), ('darurat', 'NN'), ('konsultasi', 'NN'), ('obat', 'NN'), ('rumah', 'NN'), ('biaya', 'NN'), ('terjangkau', 'VB')]"
567,"[('alhamdulilah', 'MD'), ('membantu', 'VB'), ('isoman', 'NN')]"
568,"[('oke', 'NN'), ('membantu', 'VB')]"
569,"[('dokter', 'NN'), ('ramah', 'JJ')]"
570,"[('puas', 'JJ'), ('pelayanan', 'NN'), ('halodoc', 'NN'), ('keluarga', 'NN')]"
571,"[('kadang', 'NN'), ('barang', 'NN'), ('kosong', 'JJ')]"
572,"[('solusi', 'NN'), ('sat', 'NN'), ('pandemi', 'JJ')]"
573,"[('respon', 'NN'), ('dokter', 'NN'), ('cepat', 'JJ'), ('penyampaian', 'NN'), ('padat', 'NN'), ('puas', 'JJ'), ('pelayanan', 'NN'), ('halodoc', 'FW')]"
574,"[('pas', 'NN'), ('nemu', 'VB'), ('dokter', 'NN'), ('asyk', 'NN'), ('iya', 'NN'), ('asyik', 'NN'), ('dokter', 'NN'), ('super', 'NN'), ('galak', 'VB')]"
575,"[('membantu', 'VB')]"
576,"[('sederhana', 'NN'), ('ribet', 'NN')]"
577,"[('terbantukan', 'VB'), ('rumah', 'NN'), ('sakit', 'NN'), ('sat', 'NN'), ('pandemi', 'NN'), ('suka', 'VB')]"
578,"[('care', 'FW')]"
579,"[('instal', 'NN'), ('mingu', 'NN')]"
580,"[('konsultasi', 'NN'), ('dokter', 'NN'), ('ramah', 'NN'), ('pengiriman', 'NN'), ('obat', 'NN'), ('super', 'NN'), ('cepat', 'JJ'), ('terima', 'VB'), ('kasih', 'MD')]"
581,"[('surat', 'NN'), ('keterangan', 'NN'), ('sakit', 'NN'), ('dokter', 'NN')]"
582,"[('doker', 'NN'), ('ramah', 'NN'), ('ramah', 'NN'), ('chat', 'VB'), ('jam', 'NN'), ('pagi', 'NN'), ('dilayani', 'PR')]"
583,"[('cepat', 'JJ'), ('respon', 'NN'), ('dokter', 'NN'), ('dita', 'NN'), ('kondisi', 'NN'), ('arahan', 'NN'), ('resep', 'NN'), ('obat', 'NN')]"
584,"[('membantu', 'VB')]"
585,"[('dokter', 'NN'), ('mantap', 'RB'), ('tertawa', 'VB'), ('wilayah', 'NN'), ('pengantaran', 'NN'), ('obat', 'NN'), ('luas', 'JJ')]"
586,"[('praktis', 'JJ'), ('membantu', 'VB'), ('dikala', 'NN'), ('rumahatau', 'CC'), ('kantor', 'NN')]"
587,"[('membantu', 'VB')]"
588,"[('puas', 'JJ'), ('mudah', 'JJ'), ('konsultasi', 'NN'), ('dokter', 'NN')]"
589,"[('respon', 'NN'), ('cepat', 'JJ')]"
590,"[('senang', 'NN'), ('konsultasi', 'NN'), ('di', 'IN'), ('sini', 'NN'), ('anti', 'JJ'), ('khawatir', 'JJ'), ('contact', 'FW')]"
591,"[('membantu', 'VB')]"
592,"[('pengiriman', 'NN'), ('cepat', 'JJ')]"
593,"[('membantu', 'VB'), ('cepat', 'JJ'), ('kebutuhan', 'NN'), ('obat', 'NN'), ('obatan', 'NN'), ('konsultasi', 'NN'), ('kesehatan', 'NN')]"
594,"[('selamat', 'NN'), ('pagi', 'NN'), ('sertifikat', 'NN'), ('dibuka', 'VB'), ('vaksin', 'NN')]"
595,"[('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'MD')]"
596,"[('membantu', 'VB'), ('iya', 'NN'), ('pandemi', 'JJ')]"
597,"[('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW'), ('membantu', 'FW'), ('sat', 'FW'), ('pandemic', 'FW')]"
598,"[('membantu', 'VB')]"
599,"[('membantu', 'VB')]"
600,"[('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW'), ('keluhan', 'FW'), ('customer', 'FW'), ('service', 'FW'), ('cepat', 'JJ'), ('menangapi', 'CC')]"
601,"[('membantu', 'VB')]"
602,"[('chat', 'VB'), ('balas', 'NN'), ('dokter', 'FW'), ('eh', 'FW'), ('saldo', 'FW'), ('in', 'FW'), ('jelek', 'FW')]"
603,"[('membantu', 'VB')]"
604,"[('kali', 'NN'), ('pakai', 'VB'), ('aplikasi', 'NN'), ('lancar', 'JJ'), ('informatif', 'JJ')]"
605,"[('keren', 'NN'), ('praktis', 'JJ'), ('terpercaya', 'PRP')]"
606,"[('membantu', 'VB')]"
607,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('kondisi', 'NN'), ('bedrest', 'FW')]"
608,"[('dokter', 'NN'), ('semoga', 'NN'), ('anak', 'NN'), ('lekas', 'NN'), ('sembuh', 'VB')]"
609,"[('aplikasi', 'NN'), ('layanan', 'NN'), ('halo', 'FW'), ('doc', 'FW'), ('membantu', 'VB'), ('semoga', 'NN'), ('smkin', 'RB'), ('sukses', 'JJ'), ('iya', 'PRP')]"
610,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('respon', 'NN'), ('cepat', 'JJ'), ('pengiriman', 'NN'), ('cepat', 'JJ')]"
611,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('pasien', 'NN'), ('berpergian', 'NN')]"
612,"[('dokter', 'NN'), ('penjelasan', 'NN'), ('membantu', 'VB')]"
613,"[('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'NN'), ('mudah', 'JJ'), ('mudahan', 'NN'), ('cepat', 'JJ'), ('sembuh', 'VB'), ('penyakit', 'NN')]"
614,"[('pelayanan', 'NN'), ('trmksh', 'FW'), ('dokter', 'FW'), ('halodoc', 'FW')]"
615,"[('cepat', 'JJ'), ('bagus', 'JJ')]"
616,"[('membatu', 'CD')]"
617,"[('aplikasi', 'NN'), ('manfat', 'NN'), ('bagus', 'JJ'), ('mudah', 'JJ')]"
618,"[('senang', 'NN'), ('curahan', 'NN'), ('hati', 'VB'), ('dada', 'IN'), ('plong', 'NN'), ('terima', 'VB'), ('kasih', 'MD'), ('terima', 'VB'), ('kasih', 'NN'), ('halo', 'FW'), ('doc', 'FW')]"
619,"[('terima', 'CD'), ('kasih', 'MD'), ('membantu', 'VB'), ('sat', 'NN'), ('pandemi', 'JJ')]"
620,"[('pelayanan', 'NN'), ('memuaskan', 'VB'), ('petugas', 'NN'), ('ramah', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
621,"[('membantu', 'VB'), ('tenang', 'NN'), ('informasi', 'NN'), ('solusinya', 'RB')]"
622,"[('dokter', 'NN'), ('hewan', 'NN'), ('ramah', 'JJ')]"
623,"[('membantu', 'VB'), ('disat', 'NN'), ('pendemi', 'NN'), ('skg', 'NN'), ('rumah', 'NN'), ('sakit', 'NN'), ('was', 'NN'), ('was', 'JJ')]"
624,"[('cepat', 'JJ'), ('respon', 'NN'), ('dokter', 'NN'), ('ramah', 'NN'), ('ngejelasin', 'NN'), ('detail', 'NN')]"
625,"[('aplikasi', 'NN'), ('bagus', 'JJ'), ('wilayah', 'NN'), ('lombok', 'NN'), ('barat', 'NN')]"
626,"[('membantu', 'VB'), ('pandemi', 'IN')]"
627,"[('chat', 'VB'), ('dokter', 'NN'), ('gratis', 'JJ'), ('bayar', 'VB')]"
628,"[('membantu', 'VB'), ('dokter', 'NN'), ('sabar', 'JJ')]"
629,"[('membantu', 'VB'), ('palagi', 'IN'), ('kondisi', 'NN'), ('pandemi', 'NN'), ('rumah', 'NN'), ('sakit', 'JJ'), ('rujukan', 'VB'), ('copid', 'FW')]"
630,"[('informasi', 'NN'), ('advise', 'FW'), ('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'MD'), ('dok', 'VB')]"
631,"[('oke', 'NN'), ('membantu', 'VB'), ('rumah', 'NN'), ('menemui', 'VB'), ('dokter', 'NN')]"
632,"[('halo', 'FW'), ('doc', 'FW'), ('bayar', 'FW'), ('gopay', 'FW'), ('docter', 'FW'), ('merespon', 'FW'), ('dikemanain', 'FW'), ('uang', 'FW'), ('gopay', 'FW'), ('bayar', 'FW'), ('ganti', 'FW'), ('docter', 'FW')]"
633,"[('membantu', 'VB')]"
634,"[('pembayaran', 'NN'), ('gagal', 'JJ'), ('uang', 'NN'), ('kepotong', 'VB'), ('na', 'NN'), ('dokter', 'NN'), ('ah', 'NN'), ('beres', 'NN')]"
635,"[('bagus', 'JJ'), ('membantu', 'VB'), ('pandemic', 'FW')]"
636,"[('mantap', 'RB'), ('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('semoga', 'NN'), ('sukses', 'JJ')]"
637,"[('membantu', 'VB'), ('sat', 'NN'), ('membeli', 'VB'), ('obat', 'NN'), ('langsung', 'RB')]"
638,"[('mantap', 'RB'), ('responsif', 'JJ'), ('aplikasi', 'NN'), ('ngak', 'NN'), ('lambat', 'JJ'), ('loading', 'FW')]"
639,"[('membantu', 'VB'), ('disat', 'NN'), ('sat', 'NN'), ('mendesak', 'VB')]"
640,"[('memudahkan', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('layanan', 'NN')]"
641,"[('oke', 'NN'), ('membantu', 'VB')]"
642,"[('mantap', 'NN'), ('aplikasi', 'NN'), ('cepat', 'JJ'), ('tangap', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW')]"
643,"[('pelayanan', 'NN'), ('respon', 'NN'), ('dokter', 'NN'), ('apotek', 'NN'), ('cepat', 'JJ')]"
644,"[('membantu', 'VB'), ('sat', 'NN'), ('pandemi', 'NN'), ('saran', 'NN'), ('responsif', 'JJ')]"
645,"[('oke', 'NN'), ('dokternya', 'RB')]"
646,"[('puas', 'JJ'), ('konsultasi', 'NN'), ('aplikasi', 'NN'), ('haldoc', 'NN'), ('layanan', 'NN'), ('cepat', 'JJ')]"
647,"[('ketemu', 'VB'), ('pengembangan', 'NN'), ('video', 'NN'), ('cal', 'NN'), ('keren', 'NN')]"
648,"[('barang', 'NN'), ('bayar', 'VB'), ('respon', 'NN'), ('jelek', 'NN')]"
649,"[('terima', 'CD'), ('kasih', 'NN'), ('aplikasi', 'NN'), ('terbantu', 'PR')]"
650,"[('bagus', 'JJ'), ('pengiriman', 'NN'), ('pesanan', 'NN'), ('cepat', 'JJ'), ('diskon', 'RB'), ('huhuhu', 'VB')]"
651,"[('pelayanan', 'NN'), ('cepat', 'JJ'), ('kirim', 'NN'), ('cepat', 'JJ'), ('terima', 'VB'), ('kasih', 'MD')]"
652,"[('dokter', 'NN'), ('ribet', 'NN'), ('rumah', 'NN')]"
653,"[('dokter', 'NN'), ('cepat', 'JJ'), ('tangap', 'VB'), ('ramah', 'NN'), ('memuaskan', 'VB')]"
654,"[('pertanyan', 'NN'), ('sabar', 'JJ')]"
655,"[('memudahkan', 'VB')]"
656,"[('membantu', 'VB'), ('kondisi', 'NN'), ('sibuk', 'NN'), ('ditambah', 'VB'), ('pandemi', 'IN')]"
657,"[('penyelamat', 'NN'), ('dikala', 'NN'), ('obat', 'NN'), ('dicari', 'NN'), ('apotek', 'NN'), ('terdekat', 'JJ'), ('kosong', 'VB')]"
658,"[('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW'), ('semoga', 'SC'), ('maju', 'VB'), ('berkembang', 'VB')]"
659,"[('donwload', 'FW'), ('resep', 'FW'), ('digital', 'FW'), ('document', 'FW'), ('keterangan', 'NN'), ('terunduh', 'VB'), ('masuk', 'VB'), ('document', 'FW')]"
660,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('memudahkan', 'VB'), ('masyarakat', 'NN')]"
661,"[('membantu', 'VB'), ('meringankan', 'VB'), ('beban', 'NN'), ('rumah', 'NN')]"
662,"[('kali', 'NND'), ('konsultasi', 'NN'), ('di', 'IN'), ('sini', 'PR'), ('semoga', 'SC')]"
663,"[('oke', 'NN'), ('dicoba', 'VB')]"
664,"[('membantu', 'VB'), ('mencari', 'VB'), ('informasi', 'NN'), ('kesehatan', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
665,"[('membantu', 'VB'), ('senang', 'NN'), ('deh', 'MD'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
666,"[('cepat', 'JJ'), ('tangapi', 'CC'), ('puas', 'JJ'), ('konsultasi', 'NN'), ('halodoc', 'FW'), ('terima', 'VB'), ('kasih', 'MD')]"
667,"[('bermanfat', 'VB')]"
668,"[('nungu', 'NN'), ('dokter', 'NN'), ('chat', 'VB'), ('h', 'NN'), ('bayar', 'VB'), ('registrasi', 'NN')]"
669,"[('membantu', 'VB'), ('pembelian', 'NN'), ('obat', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN')]"
670,"[('mantaps', 'NN'), ('cepat', 'JJ'), ('obat', 'VB')]"
671,"[('bagus', 'JJ'), ('membantu', 'VB')]"
672,"[('prabayar', 'VB'), ('mengunakn', 'NN'), ('ovo', 'NN'), ('gimna', 'NN'), ('komen', 'NN'), ('dokter', 'NN'), ('hu', 'NN'), ('payah', 'NN')]"
673,"[('ribet', 'NN'), ('aplikasi', 'NN'), ('nyambungin', 'FW'), ('gopay', 'FW'), ('susah', 'JJ')]"
674,"[('bermanfat', 'NN'), ('bagus', 'JJ'), ('aplikasinya', 'RB')]"
675,"[('aplikasi', 'NN'), ('inovasi', 'NN'), ('anak', 'NN'), ('bangsa', 'NN'), ('hebat', 'NN'), ('membantu', 'VB'), ('masyarakat', 'NN'), ('indonesia', 'NNP'), ('mempermudah', 'VB'), ('akses', 'NN'), ('layanan', 'NN'), ('kesehatan', 'NN'), ('fitur', 'NN'), ('fitur', 'NN'), ('membantu', 'VB'), ('di', 'IN'), ('tengah', 'NN'), ('pandemi', 'NN'), ('aplikasi', 'NN'), ('halodoc', 'FW'), ('membantu', 'VB'), ('berobat', 'NN'), ('mengantri', 'NN'), ('ulasan', 'NN'), ('lengkap', 'VB')]"
676,"[('semoga', 'SC'), ('membantu', 'VB')]"
677,"[('alhamdulilah', 'NN'), ('aplikasi', 'NN'), ('bagus', 'JJ')]"
678,"[('bagus', 'JJ'), ('aplikasinya', 'RB')]"
679,"[('keren', 'NN'), ('deh', 'VB'), ('aplikasi', 'NN'), ('halodoc', 'FW'), ('keadan', 'FW'), ('urgent', 'FW')]"
680,"[('lumayan', 'NN'), ('membantu', 'VB')]"
681,"[('puas', 'JJ'), ('berkonsultasi', 'NN'), ('dokter', 'FW'), ('halo', 'FW'), ('dok', 'FW')]"
682,"[('memuaskan', 'VB')]"
683,"[('bermanfat', 'VB')]"
684,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW')]"
685,"[('membatu', 'CD')]"
686,"[('bicara', 'NN'), ('bicara', 'NN'), ('halodoc', 'FW'), ('menyediakan', 'VB'), ('kalender', 'NN'), ('menstruasi', 'NN'), ('iya', 'PRP')]"
687,"[('membantu', 'VB')]"
688,"[('terima', 'CD'), ('kasih', 'NN'), ('cepat', 'JJ'), ('respon', 'FW'), ('dokter', 'FW'), ('spog', 'FW'), ('resep', 'FW'), ('cocok', 'FW')]"
689,"[('bagus', 'JJ'), ('mantap', 'RB')]"
690,"[('penjelasan', 'NN'), ('mengerti', 'VB')]"
691,"[('membantu', 'VB')]"
692,"[('pertanyan', 'NN'), ('lugas', 'NN')]"
693,"[('senang', 'NN'), ('konsultasi', 'NN'), ('mudah', 'JJ')]"
694,"[('daftar', 'NN'), ('gagal', 'JJ'), ('sinyal', 'NN'), ('lancar', 'JJ')]"
695,"[('semoga', 'NN'), ('anak', 'NN'), ('cocok', 'NN'), ('obat', 'NN'), ('dokter', 'NN'), ('anak', 'NN'), ('resepkan', 'VB')]"
